rune	counts
'\''	2
'/'	1
'¶'	1
'c'	10
'u'	5
'm'	10
'👍'	1
'🇦'	1
'*'	1
'–'	1
'≠'	1
'e'	36
'L'	2
'v'	1
'✊'	1
'🇺'	1
'%'	1
'¢'	1
'º'	2
'\n'	11
'i'	12
'g'	3
'-'	1
'T'	3
'�'	4
'🤘'	1
'A'	1
'🇨'	1
'∞'	1
'l'	7
'r'	21
's'	18
'🇪'	1
'±'	1
'W'	2
' '	64
':'	5
'='	1
'['	2
';'	2
'~'	4
'¡'	1
'n'	10
'.'	7
'$'	1
'j'	1
'🇧'	1
'£'	1
'^'	1
'`'	1
'a'	20
'b'	4
'f'	3
'🇬'	1
'k'	2
'&'	1
'{'	2
'ª'	1
'p'	2
'👊'	1
'🏻'	1
'}'	2
'€'	1
'🏿'	1
')'	3
'_'	1
']'	2
','	2
'?'	2
'#'	1
'•'	1
'o'	16
't'	17
'+'	1
'>'	1
'"'	4
'@'	1
'\\'	2
'!'	4
'('	3
'H'	2
'<'	2
'I'	1
'y'	2
'§'	3
'd'	7
'h'	12
'w'	5

len	counts
1	374
2	11
3	10
4	11
